topic,text,label
Digital Twins,People discuss Digital Twins often.,neutral
social media,I love how social media is evolving.,positive
AI chatbot,The progress in AI chatbot is amazing.,positive
Gene Editing,Gene Editing is causing a lot of problems.,negative
online learning,online learning is improving my life.,positive
Wearable Health Tech,Wearable Health Tech is improving my life.,positive
Agentic AI,I hate the way Agentic AI is handled.,negative
6G Connectivity,I read some articles about 6G Connectivity.,neutral
Blockchain Beyond Crypto,I hate the way Blockchain Beyond Crypto is handled.,negative
Cybersecurity Innovations,Cybersecurity Innovations is improving my life.,positive
Space Tourism,Space Tourism is improving my life.,positive
social media,social media brings great opportunities.,positive
Blockchain Beyond Crypto,I hate the way Blockchain Beyond Crypto is handled.,negative
online learning,online learning makes things worse sometimes.,negative
Wearable Health Tech,I am disappointed with Wearable Health Tech.,negative
Wearable Health Tech,Wearable Health Tech brings great opportunities.,positive
electric car,electric car brings great opportunities.,positive
Space Tourism,The issues with Space Tourism are frustrating.,negative
3D Printing,3D Printing makes things worse sometimes.,negative
Quantum Computing,Quantum Computing is interesting to observe.,neutral
electric car,electric car brings great opportunities.,positive
Food Security,I hate the way Food Security is handled.,negative
smartphones,smartphones is improving my life.,positive
Space Tourism,I am disappointed with Space Tourism.,negative
Smart Cities,I love how Smart Cities is evolving.,positive
Sustainable Tech,People discuss Sustainable Tech often.,neutral
Gene Editing,I am learning about Gene Editing.,neutral
Digital Twins,Digital Twins makes things worse sometimes.,negative
Hybrid Work Models,People discuss Hybrid Work Models often.,neutral
Augmented Reality (AR),I read some articles about Augmented Reality (AR).,neutral
AI chatbot,I hate the way AI chatbot is handled.,negative
6G Connectivity,The progress in 6G Connectivity is amazing.,positive
social media,I love how social media is evolving.,positive
Augmented Reality (AR),Augmented Reality (AR) is interesting to observe.,neutral
Hybrid Work Models,I hate the way Hybrid Work Models is handled.,negative
6G Connectivity,6G Connectivity brings great opportunities.,positive
smartphones,I am excited about smartphones.,positive
AI chatbot,The issues with AI chatbot are frustrating.,negative
Hybrid Work Models,The progress in Hybrid Work Models is amazing.,positive
Digital Twins,I love how Digital Twins is evolving.,positive
Electric Aviation,The issues with Electric Aviation are frustrating.,negative
Smart Cities,I read some articles about Smart Cities.,neutral
social media,social media brings great opportunities.,positive
Mental Health Awareness,Mental Health Awareness makes things worse sometimes.,negative
6G Connectivity,6G Connectivity is causing a lot of problems.,negative
Cybersecurity Innovations,The issues with Cybersecurity Innovations are frustrating.,negative
Quantum Computing,Quantum Computing is improving my life.,positive
online learning,I have some information about online learning.,neutral
electric car,I am learning about electric car.,neutral
online learning,online learning is improving my life.,positive
Space Tourism,I read some articles about Space Tourism.,neutral
Sustainable Tech,I hate the way Sustainable Tech is handled.,negative
Wearable Health Tech,I read some articles about Wearable Health Tech.,neutral
Mental Health Awareness,I am excited about Mental Health Awareness.,positive
Climate Adaptation,Climate Adaptation is causing a lot of problems.,negative
Voice Assistants,The progress in Voice Assistants is amazing.,positive
Quantum Computing,Quantum Computing is improving my life.,positive
electric car,I am excited about electric car.,positive
Food Security,The progress in Food Security is amazing.,positive
Agentic AI,I read some articles about Agentic AI.,neutral
Cybersecurity Innovations,Cybersecurity Innovations is improving my life.,positive
Wearable Health Tech,I love how Wearable Health Tech is evolving.,positive
Agentic AI,The progress in Agentic AI is amazing.,positive
online learning,I hate the way online learning is handled.,negative
3D Printing,The progress in 3D Printing is amazing.,positive
smartphones,I hate the way smartphones is handled.,negative
Electric Aviation,The issues with Electric Aviation are frustrating.,negative
Hybrid Work Models,I read some articles about Hybrid Work Models.,neutral
Climate Adaptation,I am learning about Climate Adaptation.,neutral
Agentic AI,I am disappointed with Agentic AI.,negative
Quantum Computing,I am disappointed with Quantum Computing.,negative
Climate Adaptation,Climate Adaptation is causing a lot of problems.,negative
Voice Assistants,I have some information about Voice Assistants.,neutral
